unique_id,story,selected_sentence,worker_ids,1_specificNL,1_generalNL,2_specificNL,2_generalNL,3_specificNL,3_generalNL,4_specificNL,4_generalNL,5_specificNL,5_generalNL,6_specificNL,6_generalNL,7_specificNL,7_generalNL,8_specificNL,8_generalNL,9_specificNL,9_generalNL,10_specificNL,10_generalNL
5cef07d5-fdd5-4ed3-a3f0-36ba8d3b6d76__4,Amy learned how to knit so she could make a sweater for her boyfriend.****She took a shirt from his closet to use as a size guide.****When she gave it to him she asked him to try it on right away.****It was way too small for him.****She had accidentally used his little brother's shirt as a guide!,She had accidentally used his little brother's shirt as a guide!,A1NPSBHME4MVX4****ATR6RB1RULOC0****AGTKQI9PCODC5,escaped,escaped,escaped,escaped,escaped,escaped,Amy possess(es) the little brother's shirt >Enables> Amy uses the brother's shirt as a guide****Amy possess(es) his little brother's shirt >Enables> Amy uses his little brother's shirt for  a guide****Amy  possess(es) his little brother's shirt >Enables> Amy  used  his little brother's shirt as  a guide,Someone_A possess(es) Something_A (that is the same shape as Something_B) >Enables> Someone_A uses Something_A for  a pattern for Something_B (that Someone_A is making)****Someone_A possess(es) Something_A (that is the same shape as Something_B) >Enables> Someone_A uses Something_A for  a pattern for Something_B (that Someone_A is making)****Someone_A possess(es) Something_A (that is a tool) >Enables> Someone_A uses  Something_A (that is a tool),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
5ef4ce7f-08de-421b-b725-261948a46922__1,"Peter went to the store.****He wanted to buy some chips.****While he was at the store he remembered he had to buy a lot of things.****He bought all the things he needed.****Peter forgot to buy his chips, though.",He wanted to buy some chips.,A1UYU9PV266WTT****A2MHM7JK1T9XHR****A1NPSBHME4MVX4,escaped,escaped,Peter like(s) chips >Motivates> Peter wants to buy some chips****Peter like(s) chips >Motivates> He wanted to buy some chips****Peter likes salty snacks >Motivates> Peter wants to buy chips,Someone_A like(s) Something_A >Motivates> Someone_A wants to buy Something_A****Someone_A like(s) Something_A >Motivates> Someone_A wants to buy Something_A****Someone_A like(s) Something_A >Motivates> Someone_A wants to buy Something_A*,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
5ef4ce7f-08de-421b-b725-261948a46922__2,"Peter went to the store.****He wanted to buy some chips.****While he was at the store he remembered he had to buy a lot of things.****He bought all the things he needed.****Peter forgot to buy his chips, though.",While he was at the store he remembered he had to buy a lot of things.,A1NPSBHME4MVX4****A1UYU9PV266WTT****A249LDVPG27XCE,escaped,escaped,escaped,escaped,Peter is at the store >Enables> Peter remembers a lot of things he needs  from the store****Peter is at the store >Enables> Peter remembers he has to buy a lot of things****Peter is inside of the store >Enables> While he was at the store he remembered he had  to buy a lot of things,Someone_A is at Somewhere_A (that is a store) >Enables> Someone_A remembers Some Things_A (that are things Someone_A needs from Someone_A)****Someone_A is at Somewhere_A (where purchases are made) >Enables> Someone_A remembers they have to buy Some Things_A****Someone_A (who is buying Something_A) is inside of Somewhere_A (which sells Something_A and other things) >Enables> While Someone_A is inside of Somewhere_A Someone_A  remembers a lot of things Someone_A needs to  buy,escaped,escaped,escaped,escaped,Peter remembers a lot of things he needs while at the store >Causes/Enables> Peter buys the things he needs****Peter remembers he has to buy a lot of things >Causes/Enables> Peter buys all the things he needs****While he was at the store he remembered he had  to  buy a lot of things >Causes/Enables> He bought all the things he needed,Someone_A has to buy Some Things_A >Causes/Enables> Someone_A buys  Some Things_A****Someone_A has to buy Some Things_A >Causes/Enables> Someone_A buys  Some Things_A****While Someone_A is at Somewhere_A which sells things Someone_A  remembers Someone_A (has a lot of things Someone_A needs to buy) at Somewhere_A >Causes/Enables> Someone_A buys all the things Someone_A (needs from Somewhere_A),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
5f005a5b-5afe-4c17-bc23-63637cc316a0__3,Every year we go cherry picking.****We wake up very early to beat the crowd.****When we arrive we get our buckets.****We head out to the cherry trees and pick for hours.****In the end we usually bring home around 20lbs of cherries.,We head out to the cherry trees and pick for hours.,A33DSCVAUOWIQY****A2MHM7JK1T9XHR****A1NPSBHME4MVX4,escaped,escaped,escaped,escaped,We are at a cherry farm >Enables> We head out to the cherry trees and pick for hours****We are at the cherry orchard >Enables> We  head out to  the cherry trees and  pick for hours****We are at a cherry orchard >Enables> We pick cherries for hours,Someone_A is at Somewhere_A (that grows produce) >Enables> Someone_A picks produce****Someone_A is at Somewhere_A (that grows produce) >Enables> Someone_A picks produce****Some People_A are at Somewhere_A (that grows Something_A) >Enables> Some People_A pick Something_A for Something_B (that is a period of time),We possess(es) buckets >Enables> We pick cherries for hours****We possess(es) buckets >Enables> We head out to  the cherry trees and pick for hours****We possess(es) buckets >Enables> We pick cherries for hours,Some People_A possess(es) Something_A into which Something_B can be placed >Enables> Some People_A pick Something_B for hours****Someone_A possess(es) Something_A (that can hold many items) >Enables> Someone_A picks  produce****Some People_A possess(es) Something_A (that is a container for Something_B) >Enables> Some People_A pick Something_B (that grows on trees) for Something_C (that is a period of time),escaped,escaped,We pick cherries for hours >Causes/Enables> We bring 20lb of cherries home****We head out to  the cherry trees and pick for hours >Causes/Enables> We  bring home 20 lbs of cherries****We pick cherries for hours >Causes/Enables> We bring home about 20 pounds of cherries,Some People_A pick Something_A (that is a fruit) for hours >Causes/Enables> Some People_A bring a large amount of Something_A  to Somewhere_A (that is Some People_A's home)****Someone_A harvests produce >Causes/Enables> Someone_A takes some produce home****Some People_A pick Something_A (that grows on trees) for Something_B (that is a period of time) >Causes/Enables> Some People_A bring Somewhere_A about Something_C (that is an amount of Something_A),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
5f005a5b-5afe-4c17-bc23-63637cc316a0__4,Every year we go cherry picking.****We wake up very early to beat the crowd.****When we arrive we get our buckets.****We head out to the cherry trees and pick for hours.****In the end we usually bring home around 20lbs of cherries.,In the end we usually bring home around 20lbs of cherries.,A33DSCVAUOWIQY****A2CMYWI1J292YJ****A1QAQ72HQ921UG,escaped,escaped,escaped,escaped,We are at a cherry farm >Enables> We bring 20lb of cherries home****we are in the orchard >Enables> we  pick 20 lbs of cherries****We are in a cherry farm >Enables> We bring home 20 pounds of cherries,Some People_A are at Somewhere_A (where Something_A that is a fruit grows) >Enables> Some People_A bring Something_A home****Some People_A are at Somewhere_A (where Something_A that is a fruit grows) >Enables> Some People_A bring Something_A home****Some People_A are in Somewhere_A (that is a farm for Something_A) >Enables> Some People_A (who gathered Something_A) bring home Something_B (that is a large amount) of Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
60a8521f-c5f1-4717-b492-aed32f07c069__0,Dwight fed his goat from his hand.****He turned his back to the goat to tie his shoe.****The goat took some papers out of Dwight's pocket.****Dwight turned around and saw the papers.****He chased after the goat to get his papers back.,Dwight fed his goat from his hand.,AGTKQI9PCODC5****A1NPSBHME4MVX4****A1UOGYZFJF4BKW,escaped,escaped,Dwight like(s) his goat >Motivates> Dwight feeds his goat****Dwight feel(s) responsible >Motivates> Dwight feeds his goat from his hand****Dwight feel(s) caring >Motivates> Dwight feeds his goat from his hand,Someone_A like(s) Something_A  (that is a pet) >Motivates> Someone_A feeds Something_A (that is a pet)****Someone_A (who owns Something_A that is a farm animal) feel(s) responsible >Motivates> Someone_A feeds Something_A from his hand****Someone_A feel(s) caring >Motivates> Someone_A feeds Something_A (that is a pet),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
60a8521f-c5f1-4717-b492-aed32f07c069__2,Dwight fed his goat from his hand.****He turned his back to the goat to tie his shoe.****The goat took some papers out of Dwight's pocket.****Dwight turned around and saw the papers.****He chased after the goat to get his papers back.,The goat took some papers out of Dwight's pocket.,AGTKQI9PCODC5****A1NPSBHME4MVX4****A3PPLDHC3CG0YN,escaped,escaped,escaped,escaped,escaped,escaped,Dwight  possess(es) papers >Enables> The goat  took some  papers from  Dwight's pocket****Dwight possess(es) papers >Enables> The goat takes the papers from Dwight's pocket****Dwight's pocket possess(es) papers >Enables> The goat took papers out of  Dwight's pocket,Someone_A possess(es) Something_B >Enables> Something_A (that is an animal) takes  Something_B from  Someone_A****Someone_A possess(es) Something_A (that are papers) >Enables> Something_B (that is a goat) takes Something_A from Something_C (that is the pocket of Someone_A)****Somewhere_A (that is Someone_A's pocket) possess(es) papers >Enables> Something_A (that is the goat) took Something_B (that are papers) out of  Somewhere_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
60d7673d-f776-4208-bf8b-88226728f4ef__2,"My friend Joe has a son, 16.****When his son was 13 he told his dad there was no summer reading.****Joe believed his son.****I went online and found the school did have summer reading.****Joe told his son to do the reading, plus one book.",Joe believed his son.,A2CMYWI1J292YJ****A1UOGYZFJF4BKW****A1UYU9PV266WTT,joe's son says there is no summer reading to joe >Causes/Enables> joe believes his son****Joe's son says there is no summer reading >Causes/Enables> Joe believes his son****Joe's son tells Joe there is no summer reading >Causes/Enables> Joe  believes his son,Someone_A tells Something_A to Someone_B >Causes/Enables> Someone_B believes Someone_A****Someone_A says Something_A does not exist >Causes/Enables> Someone_B believes Someone_A****Someone_A tells Someone_B Something_A (that isn't true) >Causes/Enables> Someone_B believes Someone_A,joe feel(s) trusting >Motivates> joe believes his son****Joe feel(s) trusting >Motivates> Joe believes his son****Joe  feel(s) trusting >Motivates> Joe believes his son,Someone_A feel(s) trusting >Motivates> Someone_A believes Someone_B****Someone_A feel(s) trusting >Motivates> Someone_A believes Someone_B****Someone_A feel(s) trusting >Motivates> Someone_A believes Someone_B,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
61380061-0927-42f4-924c-a16a6e2a48f9__2,"I was running late to class again.****The teacher said if I was late he would lock me out.****I didn't believe he would actually do it.****When I got there, the door was locked.****He made me stand in the hall for 10 minutes before letting me in.",I didn't believe he would actually do it.,A1QAQ72HQ921UG****A1NPSBHME4MVX4****A1UYU9PV266WTT,My teacher said if I was late he would lock the door >Causes/Enables> I didn't believe him****The teacher said that he would lock me out >Causes/Enables> I did not belive the teacher****The teacher says he will lock me out >Causes/Enables> I  don't believe he will actually do it,Someone_A says Something_A >Causes/Enables> Someone_B doesn't believe Something_A (that Someone_A said)****Someone_A (who is a teacher) says that Someone_B will be locked out of class when Someone_B is late again >Causes/Enables> Someone_B (who is a student) did not believe Someone_A****Someone_A says they will do Something_A >Causes/Enables> Someone_B doesn't believe Someone_A will do Something_A,I feel(s) optimistic >Motivates> I don't believe my teacher will lock the door****I feel(s) optimistic >Motivates> I do not belive my teacher will lock the classroom****I feel(s) skeptical >Motivates> I don't believe he will actually do it,Someone_A feel(s) optimistic >Motivates> Someone_A doesn't believe Something_A (that is bad will happen)****Someone_A (who is late and is a student) feel(s) optimistic >Motivates> Someone_A does not believe Someone_B (who is a teacher) about locking out late students****Someone_A feel(s) skeptical >Motivates> Someone_A doesn't believe Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
613ce729-b858-47bf-91e6-a12cd1efbfa5__2,"Last Saturday my friends had plane rides scheduled for the morning.****All the flights were very early, so they had to get up very early.****None of them had rides to the airport, so they asked me to take them.****I took my friends to the airport and we listened to music on the way.****I dropped them off safely and they all made it on time!","None of them had rides to the airport, so they asked me to take them.",A1NPSBHME4MVX4****A2CMYWI1J292YJ****ATR6RB1RULOC0,My friends had flights at the airport >Causes/Enables> My friends ask me for rides to the airport****my friends have  early morning flights >Causes/Enables> my friends asks me for a ride****My friends don't have rides  to  the airport >Causes/Enables> My friends ask  me  for  a ride,Some People_A (who are friends of Someone_A) have flights (that is an event) at the airport >Causes/Enables> Some People_A ask Someone_A for rides to the airport****Some People_A have flights >Causes/Enables> Some People_A asks Someone_A for a ride****Some People_A (who need to go Somewhere_A) don't have rides to  Somewhere_A >Causes/Enables> Some People_A ask Someone_A (who can drive) for  a ride to Somewhere_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,My friends ask me for a ride to the airport >Causes/Enables> I take my friends to the airport****my friends asks me for a ride >Causes/Enables> i take them to the airport****My friends ask me to  take them to the airport >Causes/Enables> I take my friends to  the airport,Some People_A (who need to go Somewhere_A) ask Someone_A (who is a friend of Some People_A) for a ride >Causes/Enables> Someone_A drive Some People_A to Somewhere_A****Some People_A asks Someone_A for a ride >Causes/Enables> Someone_A takes Some People_A to Somewhere_A****Some People_A (who are friends with Someone_A) ask Someone_A (who can drive) for  a ride to Somewhere_A >Causes/Enables> Someone_A takes Some People_A to  Somewhere_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
613ce729-b858-47bf-91e6-a12cd1efbfa5__3,"Last Saturday my friends had plane rides scheduled for the morning.****All the flights were very early, so they had to get up very early.****None of them had rides to the airport, so they asked me to take them.****I took my friends to the airport and we listened to music on the way.****I dropped them off safely and they all made it on time!",I took my friends to the airport and we listened to music on the way.,A1QAQ72HQ921UG****A1UYU9PV266WTT****A33DSCVAUOWIQY,My friends asked me to take them to the airport >Causes/Enables> I took my friends to  the airport****My friends ask me to take them to the airport >Causes/Enables> I take my friends to  the airport****My friends ask me for a ride to the airport >Causes/Enables> I take my friends to the airport,Some People_A ask Someone_A for  Something_A (that is an action) >Causes/Enables> Someone_A does Something_A for Some People_A****Some People_A ask Someone_A to  take them to Somewhere_A >Causes/Enables> Someone_A takes Some People_A to  Somewhere_A****Some People_A ask Someone_A for Something_A >Causes/Enables> Someone_A does Something_A for Some People_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,I took my friends to  the airport >Causes/Enables> I dropped my friends off at the airport****I take my friends to  the airport >Causes/Enables> I drop them off at the airport****I take my friends to the airport >Causes/Enables> I drop them off,Someone_A takes Some People_A to Somewhere_A >Causes/Enables> Someone_A drops off Some People_A at Somewhere_A****Someone_A takes Some People_A to  Somewhere_A >Causes/Enables> Someone_A drops Some People_A off at Somewhere_A****Someone_A drives Some People_A to Somewhere_A >Causes/Enables> Someone_A drops Some People_A off at Somewhere_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
62533d57-86fc-49b5-97ba-7fb8ac7fb628__1,"Tod lost the remote control for his TV.****So he had to change the channel using the buttons on the TV.****But Tod became tired of walking from his sofa to his TV.****And decided to look for his remote.****When he went to bed, he felt it under his pillow.",So he had to change the channel using the buttons on the TV.,A1NPSBHME4MVX4****A33DSCVAUOWIQY****A2CMYWI1J292YJ,Tod loses the remote control >Causes/Enables> Tod uses the TV buttons to change the channel****Tod loses the remote control for his TV >Causes/Enables> Tod changes the channel using the buttons on his TV****Tod  loses remote for tv >Causes/Enables> Tod  change channels by buttons on tv,Someone_A loses Something_A (that does Something_B) >Causes/Enables> Someone_A uses Something_C (that can do Something_B) to Something_B****Someone_A loses Something_A (that does Something_B) >Causes/Enables> Someone_A uses Something_C (that can do Something_B) to Something_B****Someone_A loses Something_A (that does Something_B) >Causes/Enables> Someone_A uses Something_C (that can do Something_B) to Something_B,escaped,escaped,escaped,escaped,Tod possess(es) a TV >Enables> Tod changes the TV channel****Tod possess(es) a TV >Enables> Tod has to change channels using the buttons on his TV****tod possess(es) tv >Enables> tod change channels on tv,Someone_A possess(es) Something_A >Enables> Someone_A changes Something_B (that is a state of Something_A)****Someone_A possess(es) Something_A  (thats is an appliance) >Enables> Someone_A changes channels using the buttons on Something_A****Someone_A possess(es) something_A >Enables> Someone_A operates Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
62533d57-86fc-49b5-97ba-7fb8ac7fb628__3,"Tod lost the remote control for his TV.****So he had to change the channel using the buttons on the TV.****But Tod became tired of walking from his sofa to his TV.****And decided to look for his remote.****When he went to bed, he felt it under his pillow.",And decided to look for his remote.,A33DSCVAUOWIQY****A1UYU9PV266WTT****A2MHM7JK1T9XHR,Tod  loses the remote control for his TV >Causes/Enables> Tod decides to look for the remote****Tod loses the remote for  his TV >Causes/Enables> Tod looks for  the remote****Todd lost the remote control for  his TV >Causes/Enables> Todd decided to  look for  the remote,Someone_A loses Something_A (that is used to operate) Something_B >Causes/Enables> Someone_A decides to look for Something_A****Someone_A loses Something_A >Causes/Enables> Someone_A looks before Something_A****Someone_A loses Something_A >Causes/Enables> Someone_A looks  for  Something_A,escaped,escaped,escaped,escaped,Tod possess(es) a remote >Enables> Tod decides to look for his remote****Tod possess(es) a remote >Enables> Tod looks for  the remote****Todd possess(es) a remote >Enables> Todd decides to  look  for  the remote,Someone_A possess(es) Something_A (that is lost) >Enables> Someone_A decides to look for Something_A****Someone_A possess(es) Something A (that is lost) >Enables> Someone_A looks for  Something_A (that is lost)****Someone_A possess(es) Something_A (that is lost) >Enables> Someone_A looks  for  Something_A,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
62533d57-86fc-49b5-97ba-7fb8ac7fb628__4,"Tod lost the remote control for his TV.****So he had to change the channel using the buttons on the TV.****But Tod became tired of walking from his sofa to his TV.****And decided to look for his remote.****When he went to bed, he felt it under his pillow.","When he went to bed, he felt it under his pillow.",A33DSCVAUOWIQY****A1NPSBHME4MVX4****A1UYU9PV266WTT,Tod loses the remote control for his TV >Causes/Enables> Tod feels the remote control under  his pillow when he goes to bed****Tod loses the remote control >Causes/Enables> Tod finds the remote control under his pillow****Tod loses his remote >Causes/Enables> Tod finds his remote under his pillow,Someone_A loses Something_A >Causes/Enables> Someone_A finds Something_A****Someone_A loses Something_A >Causes/Enables> Someone_A finds Something_A under Something_B****Someone_A loses Something_A >Causes/Enables> Someone_A finds Something_A under Something_B,escaped,escaped,escaped,escaped,Tod possess(es) a pillow >Enables> Tod feels his remote control under his pillow****Tod possess(es) a remote and a pillow >Enables> Tod finds his remote under his pillow****Tod possess(es) a pillow >Enables> Tod feels the remote under his pillow,Someone_A possess(es) a pillow >Enables> Someone_A feels Something_B (that is a hard object) under their pillow****Someone_A possess(es) Something_A and Something_B >Enables> Someone_A finds Something_A under Something_B****Someone_A possess(es) Something_A >Enables> Someone_A feels Something_B under Something_A,escaped,escaped,escaped,escaped,Tod feels the remote control under his pillow >Causes> Tod feel(s) surprised****Tod finds his remote under his pillow >Causes> tod feel(s) relief****Tod finds the remote under  his pillow >Causes> Tod feel(s) happy,Someone_A feels Something_A (that was lost) under Somewhere_A (that is an unexpected place to find Something_A) >Causes> Someone_A feel(s) surprised****Someone_A finds Something_A (that was lost) under Something_B >Causes> Someone_A feel(s) relief****Someone_A finds Something_A (that Someone_A has been looking for) under Something_B >Causes> Someone_A feel(s) happy,escaped,escaped,escaped,escaped,escaped,escaped
62b7b79e-e06d-49b7-b655-d2c1c0d87f14__1,Los Angeles was going through the worst heatwave ever.****All people wanted to do is stay in and keep cool.****Some people went to the movie theatre because it was always cold.****It got so hot though the whole cities power went out.****All anyone could do is sit in their car and wait until it passed.,All people wanted to do is stay in and keep cool.,AGTKQI9PCODC5****A1UYU9PV266WTT****ATR6RB1RULOC0,There  is  heatwave outside >Causes/Enables> All people wanted  to  stay in and keep cool****Los Angeles is going through a heatwave >Causes/Enables> People want to stay inside****A heatwave occurs in  Los Angeles >Causes/Enables> People  stay  inside to  keep cool,The weather is  hot >Causes/Enables> Someone_A stays  inside  to  keep cool****Somewhere_A (that is Some People_A's location) is going through Something_A (that is a weather crisis) >Causes/Enables> Some People_A want to stay inside****Something_A (that is a weather event) causes unpleasant outdoor conditions Somewhere_A >Causes/Enables> Some People_A (who live Somewhere_A) stay indoors,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,All people wanted  to  keep cool >Causes/Enables> Some people decided to go  to  the movie theater****People want to  keep cool >Causes/Enables> People go  to  the movie theater****People want to  keep cool >Causes/Enables> People go  to  the movie theatre,Someone_A wants  to  keep cool >Causes/Enables> Someone_A goes  to  Somewhere_A (where there is air conditioning)****Some People_A want to keep cool >Causes/Enables> Some People_A go  to  Somewhere_A (that is always cold)****Some People_A (who are in a hot town) want  to  keep cool  >Causes/Enables> Some People_A go  to  Somewhere_A (that is air conditioned ),escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
63e20682-c4dc-4326-89e5-48d3395a7e25__0,The boy teased the girl.****The girl got mad.****She punched the boy.****The boy told on the girl.****The girl got in trouble.,The boy teased the girl.,A1UDOSYE75OYYI****A3L0I55SEJU1HJ****A3KO36PYNA5IHQ,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,The boy  teases  the girl  >Causes> The girl  feel(s) angry ****The boy teased the girl. >Causes> The girl feel(s) angry.****The boy teases the girl >Causes> The girl feel(s) angered,Someone_A teases  Someone_B >Causes> Someone_B feel(s) angry ****Someone_A teased Someone_B >Causes> Someone_B feel(s) angry.****Someone_A teases Someone_B >Causes> Someone_B feel(s) angered,escaped,escaped,escaped,escaped,escaped,escaped
644b6177-733e-4c6c-823a-640bfdc5ab07__3,Brad broke up with Brixton.****He wanted to stay friends.****It was Christmas.****He gave her a necklace.****They ended it well.,He gave her a necklace.,A1815TOQ1PZ7JH****A3L0I55SEJU1HJ****A34CQE6RGU49L7,escaped,escaped,escaped,escaped,escaped,escaped,Brad possess(es) a necklace >Enables> Brad gives Brixton the necklace****Brad possess(es) a necklace that he has bought. >Enables> Brad gave Brixton a necklace.****Brad possess(es) a necklace >Enables> Brad gives Brixton a necklace,Someone_A possess(es) a gift >Enables> Someone_A gives Someone_B a present****Someone_A possess(es) a gift >Enables> Someone_A gives Someone_B a present****Someone_A possess(es) a gift >Enables> Someone_A gives Someone_B a present,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
64f3214b-c635-454a-9230-102dd1982e24__1,A few years ago I went on my first roller coaster.****I was very scared.****I kept my eyes closed the entire time.****I did not want to see what was going on.****When it was done I never wanted to do it again.,I was very scared.,A2MHM7JK1T9XHR****AGTKQI9PCODC5****ATR6RB1RULOC0,I went on  my first rollercoaster a few years ago >Causes/Enables> I was very scared****I  went  on  a roller coaster >Causes/Enables> I  was  very  scared****I go  on  a roller coaster >Causes/Enables> I get scared,Someone_A goes on  a thrill ride >Causes/Enables> Someone_A feels scared****Someone_A goes  on  Something_A (that is an amusement park attraction) >Causes/Enables> Someone_A is  scared****Someone_A goes on  Something_A (that is a thrill ride) >Causes/Enables> Someone_A gets scared,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
64f3214b-c635-454a-9230-102dd1982e24__3,A few years ago I went on my first roller coaster.****I was very scared.****I kept my eyes closed the entire time.****I did not want to see what was going on.****When it was done I never wanted to do it again.,I did not want to see what was going on.,A2CMYWI1J292YJ****A1UYU9PV266WTT****A1NPSBHME4MVX4,escaped,escaped,i feel(s) fearful >Motivates> i do not want  to know the situation****I feel(s) fearful >Motivates> I do not want to see what is going on****I feel(s) fear >Motivates> I do not want to see what is going on,Someone_A feel(s) fearful >Motivates> Someone_A does not want to know the situation****Someone_A feel(s) fearful >Motivates> Someone_A does not want to see what is going on****Someone_A feel(s) frightened >Motivates> Someone_A does not want to see what is going on,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped
66c69e7d-6ba6-47f7-8910-c3b94a4c024b__0,"Carl went with a friend to the carnival.****Together, they played a variety of games.****It wasn't long before they were worn out from all the activity.****Because they were so tired, they decided to head home early.****On the way back, they reveled in the fun time that they enjoyed.",Carl went with a friend to the carnival.,A1NPSBHME4MVX4****A3PPLDHC3CG0YN****A1UYU9PV266WTT,escaped,escaped,Carl like(s) fun >Motivates> Carl goes to the carnival with a friend****Carl want(s) fun  >Motivates> Carl went  with  a friend to  the carnival****Carl and his friend like(s) to have fun >Motivates> Carl goes with  a friend to  the carnival,Someone_A like(s) fun >Motivates> Someone_A goes to the carnival with Someone_B (who is a friend of Someone_A)****Someone_A want(s) fun  >Motivates> Someone_A went  with  Someone_B (that is Someone_A's friend) to  Somewhere_A (that is the carnival)****Someone_A and Someone_B like(s) to have fun >Motivates> Someone_A goes with  Someone_B to  Something_A (that is a fun event),escaped,escaped,escaped,escaped,escaped,escaped,Carl goes to the carnival with a friend >Causes/Enables> Carl and his friend play a lot of carnival games****Carl  went  with  a friend to  the carnival >Causes/Enables> Carl and his friend played games together****Carl goes with  his friend to  the carnival >Causes/Enables> They play a variety of games,Someone_A goes to the carnival with Someone_B (who is a friend of Someone_A) >Causes/Enables> Someone_A and Someone_B play a lot of carnival games****Someone_A went  with  Someone_B (who is Someone_A's friend) to  Somewhere_A (that is the carnival) >Causes/Enables> Someone_A and Someone_B played Something_B (that are games) together****Someone_A goes  with  Someone_B to  Somewhere_A (that is fun) >Causes/Enables> Someone_A and Someone_B play Something_A (that is a game located at Somewhere_A),Carl goes to the carnival with a friend >Causes> Carl feel(s) happy****Carl went  with  a friend to  the carnival >Causes> Carl and his friend feel(s) happy****Carl goes with a friend to  the carnival >Causes> Carl and his friend feel(s) happy,Someone_A goes to the carnival with Someone_B (who is a friend of Someone_A) >Causes> Someone_A feel(s) happy****Someone_A went  with  Someone_B (who is Someone_A's friend) to  Somewhere_A (that is the carnival) >Causes> Someone_A and Someone_B feel(s) happy****Someone_A goes with  Someone_B (that is a friend) to  Somewhere_A (that is fun) >Causes> Someone_A and Someone_B feel(s) happy,Carl goes to the carnival with a friend >Results in> Carl and his friend are at the carnival****Carl went  with  a friend to  the carnival >Results in> Carl and his friend are at the carnival****Carl goes with a friend to  the carnival >Results in> Carl and his friend are at the carnival,Someone_A goes to the carnival with Someone_B (who is a friend of Someone_A) >Results in> Someone_A and Someone_B are at the carnival****Someone_A went  with  Someone_B (who is Someone_A's friend) to  Somewhere_A (that is the carnival) >Results in> Someone_A and Someone_B are at Somewhere_A****Someone_A goes with  Someone_B to  Somewhere_A >Results in> Someone_A and Someone_B are at Somewhere_A,escaped,escaped,escaped,escaped
67523698-c5b9-481b-8ddf-a4896421a62c__0,April and Andy have been together for a month.****They are both young and in love.****They decided to throw a surprise wedding.****They invited all of there friends.****April and Andy are now happily married.,April and Andy have been together for a month.,A1UYU9PV266WTT****AGTKQI9PCODC5****A1NPSBHME4MVX4,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,escaped,April and Andy are are together >Causes> April and Andy feel(s) happy****April and Andy have been together for  a month >Causes> April and Andy feel(s) happy****April and Andy are together for a month >Causes> April and Andy feel(s) love,Someone_A and Someone_B (that are in love) are together >Causes> Someone_A and Someone_B feel(s) happy****Someone_A and Someone_B (who are in love) are together >Causes> Someone_A and Someone_B feel(s) happy****Someone_A and Someone_B are together >Causes> Someone_A and Someone_B feel(s) love,escaped,escaped,escaped,escaped,escaped,escaped
